Full author list,First Author(s) & Year,Article Title,Application/Technology,Tech Used,Drone type,is_ag,DOI Link,Abstract,Country(ies),Tools,SEA_status,Section_relevance,In_manuscript
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f78e0>,Alonzo et al. (2023),Drought Risk Assessment and Monitoring of Ilocos Norte Province in the Philippines Using Satellite Remote Sensing and Meteorological Data,Drought risk assessment & monitoring,Satellite,,1,10.3390/agriengineering5020045,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f7940>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f79a0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f6e30>,Amongo et al. (2023),"A GIS-based land suitability model for agricultural tractors in CALABARZON Region, Philippines",Land suitability for agricultural tractors,NA (GIS),,1,10.1038/s41598-023-45071-w,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f6e90>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f6f80>,SEA,2.3 Robotics,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f4f70>,Ampha & Wongbumru (2025),"The Analysis of Agricultural Areas to Support Urban Development based on Green Economy in Roi Et Province, Thailand",Agricultural area analysis for urban development,NA (GIS),,1,10.14246/irspsd.13.2_90,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f5180>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f51e0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f4b80>,Anh & Hanh (2025),"Toward Sustainable Agriculture: An Evaluation of Mechanization Practices in Small-Scale Paddy Farming in the Mekong River Delta, Vietnam",Mechanization in small-scale paddy farming,NA (Survey data),,1,10.37801/ajad2025.22.1.2,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f4be0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f4c40>,SEA,2.3 Robotics,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c1930>,Ansari et al. (2024),"Forest cover change and its carbon dynamic of the karst area in Bulusaraung, South Sulawesi, Indonesia",Forest cover change & carbon dynamics in karst areas,Satellite,,0,10.1080/21580103.2024.2343344,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c18d0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c17e0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c12a0>,Ariska et al. (2025),"Groundwater Potential Mapping (GWPM) using Analytical Hierarchy Process (AHP) in Bengkulu City, Indonesia",Groundwater potential mapping,"NA (GIS, AHP)",,0,10.17794/rgn.2025.3.1,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c1240>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c11e0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c1cf0>,Arumugam et al. (2024),"Land use changes and climate parameters assessments in a tropical highland region of Cameron Highlands, Malaysia",LULC & climate parameter assessments,Satellite,,0,10.2166/wcc.2024.552,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c1c90>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c0250>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c2920>,Asawapaisankul et al. (2025),Correlation of yield and vegetation indices from unmanned aerial vehicle multispectral imagery in Thailand rice production systems,Rice yield & vegetation indices correlation,Drone,ms,1,10.1002/agg2.70107,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c28c0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c0a30>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c22f0>,Asmara et al. (2024),"Spatial identification of lost-and-found carbon hotspots at Javanese rice systems, Indonesia",Carbon stock potential in rice systems,Satellite,,1,10.1016/j.agsy.2023.103834,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c1ba0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c1fc0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c3550>,Asyiqin & Ong (2025),"Adapting forest plantations to climate change: strategies, challenges, and opportunities in Malaysia",Forest plantation adaptation to climate change,"NA (Review, Remote Sensing)",,,10.1007/s11056-025-10105-w,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c3e20>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c3dc0>,SEA,2.1 Remote Sensing; Intro/Background,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c2620>,Azizan et al. (2023),Rubber leaf fall phenomenon linked to increased temperature,Rubber leaf fall phenology & temperature linkage,Satellite,,1,10.1016/j.agee.2023.108531,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c2680>,"Indonesia, Sri Lanka, Malaysia, Cambodia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c26e0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c2bc0>,Baharim et al. (2024),Modelling water use efficiency (WUE) for estimating the severity of Ganoderma boninense-derived basal stem rot disease in oil palm,Oil palm disease severity estimation,"Drone, Sensors (Hyperspectral)",hs,1,10.1007/s42161-024-01770-5,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c2c20>,"Malaysia, Indonesia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c2c80>,SEA,2.1 Remote Sensing; 2.2 IoT,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9668f0>,Baite et al. (2024),"Agricultural land suitability analysis in Manipur, India using GIS and AHP",Agricultural land suitability analysis,Satellite,,1,10.14712/23361980.2024.6,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb966950>,India,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9669b0>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb965b10>,Baldovino & Laurel (2024),Design and Development of a Tri-copter/Fixed-wing VTOL Drone for Post-Disaster Applications,VTOL drone design for post-disaster use,Drone,,0,10.1109/ICOM61675.2024.10652407,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb965ab0>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb965a50>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb966110>,Banu et al. (2024),"Land suitability analysis for turmeric crop for humid tropical Kerala, India, under current and future climate scenarios using advanced geospatial techniques",Turmeric crop suitability analysis,NA (Geospatial techniques),,1,10.1002/jsfa.13299,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9665c0>,India,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb966620>,Non-SEA → review for removal,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9645b0>,Barbieri et al. (2025),Rice area-yield estimation based on the synergistic use of remote sensing time-series and crop growth modeling in Nigeria,Rice area-yield estimation,Satellite,,1,10.1016/j.atech.2025.101024,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb964550>,Nigeria,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb967880>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb964ee0>,Basyuni et al. (2025),Reduction of mangrove carbon stock ecosystems due to illegal logging using a combination of unmanned aerial vehicle imagery and field surveys,Mangrove carbon stock assessment & illegal logging,"Drone, Satellite",,0,10.22034/gjesm.2025.01.14,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb964f40>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb964fa0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb967340>,Bate & Dagamac (2025),Wallow land suitability assessment using GIS-based multicriteria decision-making framework,Wallow land suitability assessment for tamaraw,NA (GIS),,0,10.1007/s10661-025-14111-5,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9673a0>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9674c0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb966e60>,Bautista et al. (2024),Development and Implementation of Drone Attachment Tank Sprayer (DATS),Drone sprayer development,Drone,others,1,10.1109/ICMRE60776.2024.10532154,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb966e00>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb966da0>,SEA,2.1 Remote Sensing; 2.3 Robotics,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb965420>,Bayrakli et al. (2023),Soil quality assessment based on MCDA-GIS hybrid approach for sustainable hazelnut farming under humid ecosystem environment,Soil quality assessment for hazelnut farming,NA (GIS),,1,10.1007/s12210-023-01179-9,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb965480>,Turkey,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9654e0>,Non-SEA → review for removal,2.3 Robotics,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9656f0>,Bellam et al. (2023),Mapping Shrimp Pond Dynamics: A Spatiotemporal Study Using Remote Sensing Data and Machine Learning,Shrimp pond mapping & monitoring,Satellite,,1,10.3390/agriengineering5030089,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb966890>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c60e0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c5d20>,Belton et al. (2025),Geospatial analysis enables combined poultry-fish farm monitoring in the fragile state of Myanmar,Poultry-fish farm monitoring,Satellite,,1,10.1038/s43016-025-01192-1,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c67d0>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c6830>,SEA,2.1 Remote Sensing; 2.3 Robotics,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c77c0>,Berchoux et al. (2023),Effect of planning policies on land use dynamics and livelihood opportunities under global environmental change: Evidence from the Mekong Delta,Land use dynamics & livelihood opportunities,Satellite,,0,10.1016/j.landusepol.2023.106752,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c7b50>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c5450>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c6560>,Bethuel et al. (2025),"Applying the Dempster-Shafer Fusion Theory to Combine Independent Land-Use Maps: A Case Study on the Mapping of Oil Palm Plantations in Sumatra, Indonesia",Oil palm plantation mapping,NA (Data Fusion of existing maps),,1,10.3390/rs17020234,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c79a0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c7940>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c4130>,Bethuel et al. (2024),DISCRIMINATING INDUSTRIAL AND SMALLHOLDER OIL PALM PLANTATIONS IN INDONESIA USING SENTINEL-1 TEXTURAL FEATURES,Discriminating industrial and smallholder oil palm,Satellite,,1,10.1109/IGARSS53475.2024.10641360,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c4940>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c42e0>,SEA,2.1 Remote Sensing; 4/5 Practical/Adoption,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c6290>,Bhandari & Xue (2025),"Integrating multivariate statistical analysis and geospatial approaches for sediment contamination: a case study in the great Chao Phraya River network, Thailand",Sediment contamination analysis,NA (Geospatial approaches),,0,10.1007/s11368-025-04051-5,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c62f0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c6350>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8cbd30>,Bhumiphan et al. (2023),Estimation of Rubber Yield Using Sentinel-2 Satellite Data,Rubber yield estimation,Satellite,,1,10.3390/su15097223,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8cbd90>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8cb5e0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c81c0>,Binh et al. (2024),Application of GIS in land unit mapping and evaluation of land suitability for agriculture in Uong Bi district - Quang Ninh province,Land unit mapping & suitability for agriculture,NA (GIS),,1,10.1088/1755-1315/1345/1/012017,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c9810>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8cb6a0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c9f00>,Blanton et al. (2024),Ecotourism and mangrove conservation in Southeast Asia: Current trends and perspectives,Ecotourism & mangrove conservation,NA (Literature Review),,,10.1016/j.jenvman.2024.121529,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c8370>,Southeast Asia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c8430>,SEA,Intro/Background,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8cb4c0>,Bolanio et al. (2024),"Estimating Rice Crop Yield based on the Sentinel-1A C-Band SAR Data: A Focus in the Rice Granary Capital of Agusan del Sur, Philippines",Rice crop yield estimation,Satellite,,1,10.1117/12.3009655,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c9090>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8cb610>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8c9630>,Boonman et al. (2025),Two-Phase Approach for Designing Sustainable Biomass Supply Chains for Community-Scale Biomass Power Plants in Thailand,Biomass supply chain design,"NA (GIS, MCDM)",,0,10.3390/en18030520,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8cb100>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb8cb160>,SEA,3.1 HTP/Phenotyping,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9ff3a0>,Boonprong & Khantachawana (2023),Bare Land Referenced Algorithm from Hyper-Temporal Data (BRAH) for Land Use and Land Cover Age Estimation,Land use/land cover age estimation,Satellite,,0,10.3390/land12071387,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fe8f0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fd9c0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fd030>,Boonprong et al. (2024),Advancing Cassava Age Estimation in Precision Agriculture: Strategic Application of the BRAH Algorithm,Cassava age estimation,Satellite,,1,10.3390/agriculture14071075,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9ff460>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fdae0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fe7a0>,Brasika et al. (2025),Uncertainties in carbon emissions from land use and land cover change in Indonesia,Carbon emissions from LULCC uncertainty,Satellite,,0,10.5194/bg-22-3547-2025,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fe800>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fe860>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9ffb20>,Brown et al. (2024),Remote Sensing for Restoration Change Monitoring in Tropical Peat Swamp Forests in Malaysia,Peat swamp forest restoration monitoring,"Satellite, LiDAR",,0,10.3390/rs16152690,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9ffb80>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fd390>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9feb00>,Brown et al. (2023),Detecting tropical peatland degradation: Combining remote sensing and organic geochemistry,Tropical peatland degradation detection,Satellite,,0,10.1371/journal.pone.0280187,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9ffdc0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9ffd60>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fccd0>,Bui et al. (2025),Processing of Sentinel-1B imaginary to extract water surface salinity incursion using observed data and hybrid models of particle swarm optimization,Water surface salinity incursion,Satellite,,0,10.1007/s12145-024-01633-8,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fcd30>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9fcd90>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a07c0>,Cabangbang-Jaranilla et al. (2025),"Applying geomatic analyses using landsat imagery: implications for ecosystem management in Occidental Mindoro, the Philippines",Coffee cultivation suitability under climate change,Satellite,,1,10.1007/s10113-025-02398-6,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a1b10>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a3f40>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a0250>,Cervantes-Santos et al. (2025),Huanglongbing as a Persistent Threat to Citriculture in Latin America,Citrus disease (HLB) threat assessment,NA (Review),,,10.3390/biology14040335,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a2f20>,Latin America,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a3040>,Non-SEA → review for removal,Intro/Background,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a1ed0>,Cha et al. (2024),Unveiling the Past: Deep-Learning-Based Estimation of Historical Peatland Distribution,Historical peatland distribution estimation,Satellite,,0,10.3390/land13030328,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a3850>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a3d30>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a1c90>,Chaari (2024),A Growing Integration of Weaponized Commercial Drones in Battlefield Operations,Weaponized commercial drone use in battlefields,Drone,,0,10.1109/TechDefense63521.2024.10863087,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a1c30>,Global (Conflict Zones),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a02e0>,Background (keep),2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a0df0>,Chaiyana et al. (2024),Mapping and predicting cassava mosaic disease outbreaks using earth observation and meteorological data-driven approaches,Cassava mosaic disease outbreak mapping,Satellite,,1,10.1016/j.rsase.2024.101231,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a0e50>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbc6a1840>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6c340>,Chaiyana et al. (2024),"Leveraging Remotely Sensed and Climatic Data for Improved Crop Yield Prediction in the Chi Basin, Thailand",Crop yield prediction,Satellite,,1,10.3390/su16062260,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6c3a0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6c400>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6ca00>,Chan et al. (2024),"Assessing the Impacts of Dam Construction on the Livelihoods of Swidden Farmers in Pinlaung, Southern Shan State, Myanmar",Dam construction impact on livelihoods,Satellite,,0,10.1007/s10745-024-00485-6,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6ca60>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6cac0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6d090>,Chea et al. (2024),A Survey of Changes in Grasslands within the Tonle Sap Lake Landscape from 2004 to 2023,Grassland change monitoring,Satellite,,0,10.3390/d16080448,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6d0f0>,Cambodia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6d150>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6d720>,Cheewinsiriwat et al. (2024),Assessing Coastal Vulnerability to Climate Change: A Case Study of Nakhon Si Thammarat and Krabi,Coastal vulnerability to climate change,NA (GIS),,0,10.3390/socsci13030142,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6d780>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6d7e0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6ddb0>,Chen et al. (2025),A modified spectral remote sensing index to map plastic greenhouses in fragmented terrains,Plastic greenhouse mapping,Satellite,,0,10.1016/j.atech.2025.100904,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6de10>,"China, Vietnam",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6de70>,SEA,2.1 Remote Sensing; 3.2 Controlled Env,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6e440>,Chen et al. (2025),A full time series imagery and full cycle monitoring (FTSI-FCM) algorithm for tracking rubber plantation dynamics in the Vietnam from 1986 to 2022,Rubber plantation dynamics tracking,Satellite,,1,10.1016/j.isprsjprs.2024.12.018,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6e4a0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6e500>,SEA,2.1 Remote Sensing,Yes
